subject,subject_name,gender,item,item_singular,voicing,item_pair,order,vowel,stop,place,utterancelength,accent_type,prosodic_boundary,norming_voiceless_count,norming_schwa_total,norming_schwa_pure,usable,item_vowel_dur,vowel_dur,comment
7,Dorit,female,drute,drut,voiceless,2,48+0i,u,t,alveolar,1.52,prenuclear,no,0,2,2,usable,111.7,121.180532,NA
7,Dorit,female,gage,gag,voiced,5,51+0i,a,g,velar,1.624,prenuclear,no,1,4,4,usable,220.77,182.065133,NA
7,Dorit,female,nauge,naug,voiced,9,54+0i,au,g,velar,1.584,prenuclear,no,0,4,4,usable,206.35,177.440603,NA
7,Dorit,female,griede,gried,voiced,7,55+0i,i,d,alveolar,1.512,prenuclear,no,0,5,5,not_usable,116.35,129.608928,VQ e ~ i
7,Dorit,female,froke,frok,voiceless,4,57+0i,o,k,velar,1.632,prenuclear,no,1,2,2,usable,131.4,135.443947,NA
7,Dorit,female,frade,frad,voiced,3,60+0i,a,d,alveolar,2.368,prenuclear,no,1,3,3,usable,198.19,169.009378,NO RELEASE?
7,Dorit,female,blote,blot,voiceless,1,67+0i,o,t,alveolar,1.624,prenuclear,no,2,2,2,usable,153.82,154.686864,NA
7,Dorit,female,schrieke,schriek,voiceless,11,68+0i,i,k,velar,1.648,prenuclear,no,1,3,3,usable,124.84,127.910996,NA
7,Dorit,female,klape,klap,voiceless,8,69+0i,a,p,labial,1.608,prenuclear,no,1,2,2,usable,152.21,162.272803,NA
7,Dorit,female,quope,quop,voiceless,21,73+0i,o,p,labial,1.616,prenuclear,no,1,2,2,usable,146.96,150.987,NA
7,Dorit,female,stauge,staug,voiced,24,77+0i,au,g,velar,1.616,prenuclear,no,0,3,3,usable,169.76,193.674351,NA
7,Dorit,female,roke,rok,voiceless,22,79+0i,o,k,velar,1.712,prenuclear,no,1,2,2,usable,155.85,128.65546,NA
7,Dorit,female,gaude,gaud,voiced,15,80+0i,au,d,alveolar,1.744,deaccented,no,0,3,3,usable,213.2,214.729966,NA
7,Dorit,female,priege,prieg,voiced,18,84+0i,i,g,velar,1.744,deaccented,no,0,5,5,usable,142.02,133.020088,NA
7,Dorit,female,jiete,jiet,voiceless,16,85+0i,i,t,alveolar,1.712,prenuclear,no,2,3,3,usable,140.71,129.833851,NA
7,Dorit,female,pruke,pruk,voiceless,19,96+0i,u,k,velar,1.752,prenuclear,no,1,3,3,usable,92.5,131.547316,NA
7,Dorit,female,frube,frub,voiced,14,97+0i,u,b,labial,1.664,prenuclear,no,0,3,3,usable,126.51,109.580386,NO RELEASE?; whisper sound in /v/
7,Dorit,female,quade,quad,voiced,20,99+0i,a,d,alveolar,1.6,prenuclear,no,1,3,3,usable,190.37,181.508176,NA
7,Dorit,female,mube,mub,voiced,17,100+0i,u,b,labial,1.704,prenuclear,no,1,4,4,usable,190.24,108.388222,NO RELEASE?
7,Dorit,female,schuke,schuk,voiceless,23,101+0i,u,k,velar,1.696,prenuclear,no,1,3,3,usable,113.14,110.066147,NA
7,Dorit,female,flape,flap,voiceless,13,102+0i,a,b,labial,1.576,prenuclear,no,0,5,5,usable,109.48,140.870678,POPPING IN CLOSURE
7,Dorit,female,drude,drud,voiced,2,109+0i,u,d,alveolar,1.632,prenuclear,no,0,3,3,usable,157.96,146.95947,NA
7,Dorit,female,gake,gak,voiceless,5,114+0i,a,k,velar,1.624,prenuclear,no,1,3,3,usable,195.59,188.032782,NA
7,Dorit,female,wiepe,wiep,voiceless,12,115+0i,i,p,labial,1.68,prenuclear,no,2,3,3,usable,102.1,114.190106,POPPING IN CLOSURE; NO RELEASE?
7,Dorit,female,gope,gop,voiceless,6,121+0i,o,p,labial,1.568,prenuclear,no,0,3,3,usable,120.77,142.628435,NA
7,Dorit,female,nauke,nauk,voiceless,9,128+0i,au,k,velar,1.528,prenuclear,no,0,4,4,usable,160.76,189.351663,NA
7,Dorit,female,klabe,klab,voiced,8,132+0i,a,b,labial,1.648,deaccented,no,1,2,2,usable,157.49,143.934866,NA
7,Dorit,female,frate,frat,voiceless,3,133+0i,a,t,alveolar,1.616,prenuclear,no,0,4,4,usable,144.68,158.513228,NA
7,Dorit,female,griete,griet,voiceless,7,135+0i,i,t,alveolar,1.64,prenuclear,no,1,4,4,usable,102.61,133.63173,NA
7,Dorit,female,schriege,schrieg,voiced,11,136+0i,i,g,velar,1.624,prenuclear,no,0,5,5,usable,143.52,148.955188,NA
