"","speaker","consonant","vowel","following_phone","word","gender","Voicing","Manner","base_vowel","base_vowel_AvIU","base_vowel_IvU","speaker_mean_f0","f0","utterance_num_syllables","local_f0"
"2810","TU064","b","i","z","biz","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,20.6297790178042,11,15.4114776292918
"2811","TU064","dZ","u","m","cumhurbaşkanlığında","female","voiced","affricate","U",0.333333333333333,0.5,12.9078853963422,13.8502816538382,18,13.8012903811798
"2812","TU064","b","u","s","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.9078853963422,19.8644346409814,17,12.968205734944
"2813","TU064","b","u","k","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.9078853963422,24.2300923443874,8,12.386426178693
"2814","TU064","b","u","t","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.9078853963422,12.6767882818951,22,15.7307406186391
"2815","TU064","b","u","k","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.9078853963422,22.1362006804768,12,16.7132553445296
"2816","TU064","b","u","ab","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.9078853963422,23.0927445897847,14,12.2788895035076
"2817","TU064","dZ","u","m","cumhurbaşkanı","female","voiced","affricate","U",0.333333333333333,0.5,12.9078853963422,10.3598084617016,8,15.7418354664086
"2818","TU064","b","u","s","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.9078853963422,13.9802232528823,11,15.9081897613896
"2819","TU064","dZ","u","m","cumhurbaşkanı","female","voiced","affricate","U",0.333333333333333,0.5,12.9078853963422,8.52928403654225,17,14.8090264131022
"2820","TU064","s","u","i","suikastta","female","voiceless","fricative","U",0.333333333333333,0.5,12.9078853963422,14.6492494553548,11,17.7082488766222
"2821","TU064","t","ab","s","tasarı","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,10.6258445591313,3,15.854331836946
"2822","TU064","k","ab","n","kanun","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,14.7993104593448,7,9.97251905990604
"2823","TU064","k","ab","r","karla","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,15.4073356236292,17,13.0018965957836
"2824","TU064","dZ","ab","n","cani","female","voiced","affricate","A",-0.666666666666667,0,12.9078853963422,13.8109591989414,8,14.4888121979568
"2825","TU064","dZ","ab","l","çalışan","female","voiced","affricate","A",-0.666666666666667,0,12.9078853963422,16.4399415980984,3,11.6860995978149
"2826","TU064","t","ab","s","tasarı","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,16.814612230827,12,17.6152422953138
"2827","TU064","s","ab","k","şakakinin","female","voiceless","fricative","A",-0.666666666666667,0,12.9078853963422,11.1020770794551,11,15.5348295690087
"2828","TU064","s","ab","i","şaibeli","female","voiceless","fricative","A",-0.666666666666667,0,12.9078853963422,18.4975396782658,9,19.5285181978282
"2829","TU064","k","ab","d","kadük","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,14.6325177042869,5,11.6721688745698
"2830","TU064","t","ab","n","tansu","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,18.5799778811199,11,19.5070703307294
"2831","TU064","k","ab","t","katılımcılar","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,20.5736827700183,30,20.5727364293277
"2832","TU064","s","ab","h","sahip","female","voiceless","fricative","A",-0.666666666666667,0,12.9078853963422,13.1537959566792,22,10.6396851371664
"2833","TU064","p","ab","s","pasif","female","voiceless","plosive","A",-0.666666666666667,0,12.9078853963422,17.1103278860104,7,12.3257313497841
"2834","TU064","b","ab","r","barış","female","voiced","plosive","A",-0.666666666666667,0,12.9078853963422,13.4953607699321,17,15.1034670825893
"2835","TU064","b","i","r","birleşmiş","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,18.1767993404782,7,17.3260404560555
"2836","TU064","b","i","l","bildiride","female","voiced","plosive","I",0.333333333333333,-0.5,12.9078853963422,18.3801367929457,16,18.2059834723775
"2837","TU064","s","i","m","şimdi","female","voiceless","fricative","I",0.333333333333333,-0.5,12.9078853963422,15.7770088192931,14,16.5311159996566
"2838","TU064","f","i","l","filistinin","female","voiceless","fricative","I",0.333333333333333,-0.5,12.9078853963422,13.375131905445,25,20.5122120073657
"2839","TU064","s","i","z","siz","female","voiceless","fricative","I",0.333333333333333,-0.5,12.9078853963422,14.9543221231946,7,12.0776732190431
"2840","TU065","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,22.4042876565113,27,17.8475133767283
"2841","TU065","t","i","dZ","ticaret","female","voiceless","plosive","I",0.333333333333333,-0.5,16.9745931604426,16.2180478891729,21,17.7171276466571
"2842","TU065","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,15.6455463881433,5,NA
"2843","TU065","k","i","S","kişiler","female","voiceless","plosive","I",0.333333333333333,-0.5,16.9745931604426,17.1136019773017,26,18.4165539609379
"2844","TU065","b","i","b","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,21.4219254322674,9,17.7483106504842
"2845","TU065","s","i","h","sihirli","female","voiceless","fricative","I",0.333333333333333,-0.5,16.9745931604426,16.7081115385968,15,19.4243787707037
"2846","TU065","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,23.0019450108062,10,19.077314559597
"2847","TU065","s","i","r","şirin","female","voiceless","fricative","I",0.333333333333333,-0.5,16.9745931604426,17.8591804142932,4,18.2504559567734
"2848","TU065","f","i","r","firmanın","female","voiceless","fricative","I",0.333333333333333,-0.5,16.9745931604426,20.4591986630908,3,16.9340991279985
"2849","TU065","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,21.1759436577097,4,18.8221745323417
"2850","TU065","b","i","r","bir","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,18.343692321138,11,18.820168603556
"2851","TU065","dZ","i","z","cizrede","female","voiced","affricate","I",0.333333333333333,-0.5,16.9745931604426,20.6931170505909,10,13.3072082617064
"2852","TU065","b","i","z","bizler","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,14.3455679911795,16,15.9362474113848
"2853","TU065","b","i","n","binlerce","female","voiced","plosive","I",0.333333333333333,-0.5,16.9745931604426,15.4159346863343,5,13.3542865377667
